Day,Meal,Foods,Calories,Protein (g),Carbs (g),Fat (g)
1,Breakfast,1 handful of semiya upma,144,6.8,22.0,2.2
1,Lunch,Brahmi infused ½ bowl of rava upma,125,7.5,19.8,0.5
1,Snack,Ashwagandha infused 2 bowls of brown rice with sambar,124,3.3,26.2,4.3
1,Dinner,1 handful of 2 roti with Vegetable Kurma,120,9.2,16.2,0.5
2,Breakfast,1 bowl of semiya upma,130,7.0,18.0,3.0
2,Lunch,½ bowl of 2 roti with Vegetable Kurma,129,10.4,16.5,0.4
2,Snack,2 bowls of 2 palak paratha with chutney,137,11.7,21.1,1.0
2,Dinner,Methi Seeds infused 2 bowls of 2 chapati with Paneer Bhurji (Low Fat),118,10.4,3.6,7.4
3,Breakfast,1 paratha of rice and sambar,152,5.2,24.9,4.1
3,Lunch,1 handful of rice and sambar,134,4.3,15.6,5.9
3,Snack,Neem infused 1 handful of 2 roti with Vegetable Kurma,144,10.0,21.6,0.4
3,Dinner,small plate of rice and sambar,126,4.1,18.7,6.5
4,Breakfast,1 handful of 2 palak paratha with chutney,125,10.6,16.3,1.0
4,Lunch,small plate of rava upma,117,7.7,20.1,0.4
4,Snack,1 cup of semiya upma,148,7.0,21.0,2.3
4,Dinner,2 idlis of 2 palak paratha with chutney,133,8.4,15.9,1.0
5,Breakfast,1 paratha of 2 Steamed Dhokla,150,4.1,16.3,5.9
5,Lunch,Amla infused 1 cup of 4 Low Fat Vegetable Dhokla,140,4.1,20.8,3.5
5,Snack,1 handful of 2 roti with Vegetable Kurma,102,7.5,27.0,0.4
5,Dinner,1 small bowl of rice and sambar,150,5.0,20.0,5.0
6,Breakfast,Giloy infused 1 paratha of 2 chapati with Paneer Bhurji (Low Fat),136,8.0,3.3,7.5
6,Lunch,½ bowl of brown rice with matki sambar,162,6.1,15.5,4.4
6,Snack,Methi Seeds infused ½ bowl of 2 Steamed Dhokla,133,4.2,24.2,6.3
6,Dinner,1 handful of semiya upma,141,6.6,21.0,2.9
7,Breakfast,2 bowls of brown rice with matki sambar,125,3.4,29.6,4.1
7,Lunch,2 idlis of 2 chapati with Paneer Bhurji (Low Fat),104,10.9,2.5,5.1
7,Snack,small plate of 2 Steamed Dhokla,144,4.6,27.2,3.6
7,Dinner,Giloy infused 1 handful of brown rice with matki sambar,123,6.4,19.2,6.2
8,Breakfast,small plate of 2 dosa with coconut chutney,100,7.7,19.2,1.6
8,Lunch,small plate of rava upma,117,7.7,20.1,0.4
8,Snack,Ashwagandha infused 2 idlis of 2 roti with Vegetable Kurma,139,7.8,28.6,0.6
8,Dinner,Tulsi infused 1 handful of semiya upma,107,8.5,22.8,3.6
9,Breakfast,2 idlis of brown rice with sambar,155,3.6,24.1,3.9
9,Lunch,Amla infused 1 cup of 4 Low Fat Vegetable Dhokla,140,4.1,20.8,3.5
9,Snack,½ bowl of 2 chapati with Paneer Bhurji (Low Fat),107,11.0,2.6,8.9
9,Dinner,2 chapati with Paneer Bhurji (Low Fat),120,10.0,3.5,7.0
10,Breakfast,small plate of 2 Steamed Dhokla,140,3.8,27.8,6.2
10,Lunch,1 paratha of 4 Khaman Dhokla,159,4.6,23.1,6.3
10,Snack,Giloy infused 1 handful of semiya upma,108,7.5,22.3,3.6
10,Dinner,Giloy infused small plate of semiya upma,124,8.9,21.7,2.3
11,Breakfast,Methi Seeds infused ½ bowl of rava upma,121,8.1,21.3,0.5
11,Lunch,1 paratha of 2 palak paratha with chutney,99,7.2,24.5,0.8
11,Snack,½ bowl of 4 Low Fat Vegetable Dhokla,117,4.8,20.4,3.9
11,Dinner,small plate of Low-Fat Vegetable Pulao,174,3.6,27.1,2.9
12,Breakfast,Amla infused small plate of 2 chapati with Paneer Bhurji (Low Fat),109,12.2,2.9,8.4
12,Lunch,Amla infused small plate of rice Green Gram Curry,125,8.4,16.6,0.6
12,Snack,small plate of brown rice with matki sambar,143,3.7,18.2,4.3
12,Dinner,½ bowl of 2 Besan Chilla,96,6.6,12.6,4.8
13,Breakfast,1 paratha of brown rice with matki sambar,125,4.6,16.2,5.7
13,Lunch,Tulsi infused 2 idlis of brown rice with matki sambar,132,3.5,27.6,3.6
13,Snack,small plate of brown rice with sambar,146,3.9,28.2,4.0
13,Dinner,1 cup of rice and sambar,178,5.6,23.9,5.9
14,Breakfast,½ bowl of brown rice with matki sambar,115,3.5,27.2,4.1
14,Lunch,2 bowls of Low-Fat Vegetable Pulao,160,4.4,22.2,2.3
14,Snack,Methi Seeds infused small plate of rice and sambar,154,6.4,16.4,6.1
